Year,Month,Day,Time,Gateway,Latitude,Longitude,Port,Measurement Type,Values,Notes,Creator
2016,10,10,0:16:00,PCGW01C303385,50.3795433,-105.4535213,DIG-1,Rain Gauge,0,,
2016,10,11,0:16:00,PCGW01C303385,50.3795433,-105.4535213,DIG-1,Rain Gauge,0,,
2016,10,12,0:16:00,PCGW01C303385,50.3795433,-105.4535213,DIG-1,Rain Gauge,0,,
2016,10,13,0:16:00,PCGW01C303385,50.3795433,-105.4535213,DIG-1,Rain Gauge,0,,
2016,10,14,0:16:00,PCGW01C303385,50.3795433,-105.4535213,DIG-1,Rain Gauge,0,,
2016,10,15,0:16:00,PCGW01C303385,50.3795433,-105.4535213,DIG-1,Rain Gauge,0,,
2016,5,20,0:16:00,PCGW01C303385,50.3795433,-105.4535213,N/A,Soil Moisture,395.92,,
2016,5,21,0:16:00,PCGW01C303385,50.3795433,-105.4535213,N/A,Soil Moisture,396.95,,
2016,5,22,0:16:00,PCGW01C303385,50.3795433,-105.4535213,N/A,Soil Moisture,397.18,,
2016,5,23,0:16:00,PCGW01C303385,50.3795433,-105.4535213,N/A,Soil Moisture,397.77,,
2016,5,24,0:16:00,PCGW01C303385,50.3795433,-105.4535213,N/A,Soil Moisture,397.59,,
2016,5,25,0:16:00,PCGW01C303385,50.3795433,-105.4535213,N/A,Soil Moisture,397.24,,
2016,5,26,0:16:00,PCGW01C303385,50.3795433,-105.4535213,N/A,Soil Moisture,396.81,,
2016,5,27,0:16:00,PCGW01C303385,50.3795433,-105.4535213,N/A,Soil Moisture,399.5,,
2016,5,28,0:16:00,PCGW01C303385,50.3795433,-105.4535213,N/A,Soil Moisture,401.23,,
2016,5,29,0:16:00,PCGW01C303385,50.3795433,-105.4535213,N/A,Soil Moisture,402.28,,
2016,5,30,0:16:00,PCGW01C303385,50.3795433,-105.4535213,N/A,Soil Moisture,403.29,,
2016,5,31,0:16:00,PCGW01C303385,50.3795433,-105.4535213,N/A,Soil Moisture,403.39,,
2016,6,1,0:16:00,PCGW01C303385,50.3795433,-105.4535213,N/A,Soil Moisture,405.97,,
2016,6,2,0:16:00,PCGW01C303385,50.3795433,-105.4535213,N/A,Soil Moisture,407.48,,
2016,6,3,0:16:00,PCGW01C303385,50.3795433,-105.4535213,N/A,Soil Moisture,407.72,,
2016,6,4,0:16:00,PCGW01C303385,50.3795433,-105.4535213,N/A,Soil Moisture,408.67,,
2016,6,5,0:16:00,PCGW01C303385,50.3795433,-105.4535213,N/A,Soil Moisture,409.76,,
2016,6,6,0:16:00,PCGW01C303385,50.3795433,-105.4535213,N/A,Soil Moisture,409.76,,
2016,6,7,0:16:00,PCGW01C303385,50.3795433,-105.4535213,N/A,Soil Moisture,410.92,,
2016,6,8,0:16:00,PCGW01C303385,50.3795433,-105.4535213,N/A,Soil Moisture,410.79,,
2016,6,9,0:16:00,PCGW01C303385,50.3795433,-105.4535213,N/A,Soil Moisture,411.26,,
